
-------------------- Start --------------------

---------------------------------
Thresh 	 F_score
0.169599 	 0.915550
0.136662 	 1.000000
0.127790 	 1.000000
0.029111 	 0.000000
0.085921 	 1.000000
0.218547 	 0.000000
0.105800 	 0.000000
0.102797 	 1.000000
0.019049 	 0.000000
0.079969 	 0.807571
0.181998 	 1.000000
0.216262 	 0.000000
0.324667 	 0.000000
0.068264 	 0.000000
0.180805 	 1.000000
0.037775 	 0.148148
0.187144 	 1.000000
0.083967 	 0.000000
0.168607 	 1.000000
0.143315 	 1.000000
0.126441 	 0.415584
0.048938 	 0.000000
0.031176 	 0.000000
0.068371 	 0.000000
0.090914 	 0.446667
0.170901 	 1.000000
0.097532 	 1.000000
0.022926 	 0.000000
0.102797 	 1.000000
0.204890 	 1.000000
0.083903 	 0.129630
0.107776 	 0.289474
0.234391 	 0.000000
0.103944 	 1.000000
0.081376 	 0.000000
0.080073 	 0.202643
0.106945 	 0.531250
0.118958 	 0.000000
0.047856 	 0.000000
0.123206 	 1.000000
0.127266 	 0.000000
0.023920 	 0.043478
0.045176 	 0.555556
0.071375 	 0.484375
0.049528 	 0.269231
0.044485 	 0.232558
0.130834 	 0.000000
0.129359 	 1.000000
0.216810 	 1.000000
0.055266 	 0.741573
0.105758 	 0.000000
0.000000 	 0.000000
---------
0.455163 ( 51 ) precision 0.559499  recall 0.688592  f-micro 0.617369 
---------

---------------------------------
Thresh 	 F_score
0.225441 	 0.905526
0.204993 	 1.000000
0.195267 	 1.000000
0.036322 	 0.000000
0.154007 	 1.000000
0.327821 	 0.000000
0.165087 	 0.000000
0.154195 	 1.000000
0.029760 	 0.000000
0.123262 	 0.816993
0.272998 	 1.000000
0.324393 	 0.000000
0.490523 	 0.029851
0.107814 	 0.000000
0.271208 	 1.000000
0.048396 	 0.222222
0.280715 	 1.000000
0.125928 	 0.000000
0.252910 	 1.000000
0.214973 	 1.000000
0.152220 	 0.366667
0.121780 	 1.000000
0.047470 	 0.000000
0.063192 	 0.000000
0.142625 	 0.335570
0.256351 	 1.000000
0.151993 	 1.000000
0.111338 	 0.000000
0.154195 	 1.000000
0.307335 	 1.000000
0.138227 	 0.133333
0.154866 	 0.294118
0.351586 	 0.000000
0.155916 	 1.000000
0.122052 	 0.000000
0.131997 	 0.153846
0.144967 	 0.437358
0.181371 	 0.000000
0.126327 	 1.000000
0.184809 	 1.000000
0.192043 	 0.000000
0.038816 	 0.086957
0.111690 	 0.581818
0.105937 	 0.319149
0.143473 	 0.100000
0.056999 	 0.238095
0.196252 	 0.000000
0.194066 	 1.000000
0.325216 	 1.000000
0.081281 	 0.738095
0.158637 	 0.000000
0.000000 	 0.000000
---------
0.485482 ( 51 ) precision 0.599093  recall 0.644656  f-micro 0.621040 
---------

---------------------------------
Thresh 	 F_score
0.305325 	 0.916959
0.256834 	 1.000000
0.258908 	 1.000000
0.041099 	 0.000000
0.188036 	 1.000000
0.382457 	 0.000000
0.196565 	 0.000000
0.179894 	 1.000000
0.035801 	 0.000000
0.139372 	 0.849498
0.318497 	 1.000000
0.378459 	 0.000000
0.400177 	 0.029851
0.124386 	 0.000000
0.316409 	 1.000000
0.071368 	 0.333333
0.327501 	 1.000000
0.146866 	 0.000000
0.295062 	 1.000000
0.250802 	 1.000000
0.218512 	 0.343750
0.171471 	 1.000000
0.063653 	 0.000000
0.059198 	 0.181818
0.161390 	 0.329114
0.299076 	 1.000000
0.173900 	 1.000000
0.078589 	 1.000000
0.179894 	 1.000000
0.358558 	 1.000000
0.194335 	 0.109589
0.180900 	 0.276923
0.410184 	 0.000000
0.181902 	 1.000000
0.142382 	 0.000000
0.149585 	 0.152866
0.156121 	 0.451163
0.226080 	 0.000000
0.114019 	 1.000000
0.318392 	 1.000000
0.268642 	 0.000000
0.188193 	 0.000000
0.106168 	 0.596491
0.126155 	 0.347826
0.145497 	 0.100000
0.079438 	 0.312500
0.228960 	 0.000000
0.226419 	 1.000000
0.379418 	 1.000000
0.097759 	 0.727273
0.185077 	 0.000000
0.000000 	 0.000000
---------
0.510960 ( 51 ) precision 0.624262  recall 0.633779  f-micro 0.628984 
---------

---------------------------------
Thresh 	 F_score
0.346803 	 0.919139
0.272597 	 1.000000
0.290728 	 1.000000
0.043858 	 0.000000
0.200766 	 1.000000
0.409776 	 0.000000
0.212304 	 0.000000
0.222250 	 1.000000
0.037445 	 0.000000
0.160439 	 0.830065
0.341247 	 1.000000
0.405492 	 0.000000
0.355998 	 0.029851
0.133204 	 0.000000
0.339010 	 1.000000
0.103213 	 0.333333
0.350894 	 1.000000
0.157488 	 0.000000
0.316137 	 1.000000
0.268716 	 1.000000
0.239706 	 0.405797
0.134894 	 1.000000
0.078152 	 0.000000
0.122602 	 0.000000
0.176248 	 0.371991
0.320439 	 1.000000
0.182700 	 1.000000
0.139430 	 0.000000
0.192744 	 1.000000
0.384169 	 1.000000
0.272552 	 0.139535
0.191924 	 0.250000
0.439482 	 0.000000
0.194895 	 1.000000
0.152530 	 0.000000
0.162342 	 0.162500
0.186977 	 0.505447
0.248291 	 0.000000
0.159409 	 1.000000
0.385183 	 1.000000
0.262172 	 0.000000
0.262881 	 0.000000
0.102661 	 0.535714
0.161872 	 0.433962
0.226642 	 0.210526
0.069827 	 0.294118
0.287873 	 0.000000
0.242596 	 1.000000
0.406519 	 1.000000
0.113976 	 0.740741
0.198297 	 0.000000
0.000000 	 0.000000
---------
0.493387 ( 51 ) precision 0.637197  recall 0.634250  f-micro 0.635720 
---------

---------------------------------
Thresh 	 F_score
0.265377 	 0.918033
0.292171 	 1.000000
0.273176 	 1.000000
0.045253 	 0.000000
0.211373 	 1.000000
0.423435 	 0.000000
0.216811 	 0.000000
0.243429 	 1.000000
0.039875 	 0.000000
0.177177 	 0.856187
0.352622 	 1.000000
0.419008 	 1.000000
0.333505 	 0.058824
0.128967 	 0.000000
0.350310 	 1.000000
0.121712 	 0.333333
0.362591 	 1.000000
0.162794 	 0.000000
0.326675 	 1.000000
0.277673 	 1.000000
0.261565 	 0.410959
0.183477 	 1.000000
0.116908 	 0.000000
0.156453 	 0.000000
0.188642 	 0.323529
0.331120 	 1.000000
0.189247 	 1.000000
0.092634 	 1.000000
0.199169 	 1.000000
0.396975 	 1.000000
0.264212 	 0.144578
0.211002 	 0.258065
0.454132 	 0.000000
0.201392 	 1.000000
0.157684 	 0.000000
0.173863 	 0.176101
0.335432 	 0.273810
0.243292 	 0.000000
0.130215 	 1.000000
0.418579 	 1.000000
0.258917 	 0.000000
0.299945 	 0.000000
0.101688 	 0.586207
0.189998 	 0.354167
0.273340 	 0.210526
0.066082 	 0.303030
0.274771 	 0.000000
0.250685 	 1.000000
0.420070 	 1.000000
0.120276 	 0.759494
0.205041 	 0.000000
0.000000 	 0.000000
---------
0.528762 ( 51 ) precision 0.649466  recall 0.624769  f-micro 0.636878 
---------

---------------------------------
Thresh 	 F_score
0.213403 	 0.905526
0.300423 	 1.000000
0.297862 	 1.000000
0.045951 	 0.000000
0.216676 	 1.000000
0.430264 	 0.000000
0.224108 	 0.000000
0.254018 	 1.000000
0.038932 	 0.000000
0.187438 	 0.841379
0.358309 	 1.000000
0.425766 	 1.000000
0.349451 	 0.058824
0.123060 	 0.000000
0.355961 	 1.000000
0.128770 	 0.333333
0.368439 	 1.000000
0.165452 	 0.000000
0.331944 	 1.000000
0.282152 	 1.000000
0.238846 	 0.410959
0.207784 	 1.000000
0.139429 	 0.000000
0.177930 	 0.000000
0.190582 	 0.322892
0.336461 	 1.000000
0.192521 	 1.000000
0.069247 	 0.000000
0.202381 	 1.000000
0.403377 	 1.000000
0.257659 	 0.140845
0.224885 	 0.253968
0.461456 	 0.000000
0.204640 	 1.000000
0.160260 	 0.000000
0.172731 	 0.179487
0.268861 	 0.377953
0.240830 	 0.000000
0.115814 	 1.000000
0.435277 	 1.000000
0.257310 	 0.000000
0.318735 	 0.000000
0.097410 	 0.586207
0.199680 	 0.395833
0.296180 	 0.000000
0.089842 	 0.285714
0.310779 	 0.000000
0.254729 	 1.000000
0.426845 	 1.000000
0.120654 	 0.759494
0.206115 	 0.000000
0.000000 	 0.000000
---------
0.506910 ( 51 ) precision 0.657499  recall 0.618362  f-micro 0.637331 
---------

---------------------------------
Thresh 	 F_score
0.208922 	 0.899522
0.311730 	 1.000000
0.310205 	 1.000000
0.046300 	 0.000000
0.219513 	 1.000000
0.433679 	 0.000000
0.227590 	 0.000000
0.259312 	 1.000000
0.040306 	 0.000000
0.183733 	 0.840000
0.361153 	 1.000000
0.429145 	 1.000000
0.321917 	 0.029851
0.121598 	 0.000000
0.358786 	 1.000000
0.120331 	 0.333333
0.371363 	 1.000000
0.166781 	 0.000000
0.334579 	 1.000000
0.284391 	 1.000000
0.254947 	 0.421053
0.219807 	 1.000000
0.101499 	 0.000000
0.115261 	 0.000000
0.195910 	 0.297229
0.339131 	 1.000000
0.194158 	 1.000000
0.057549 	 0.000000
0.203987 	 1.000000
0.406579 	 1.000000
0.255861 	 0.148148
0.233426 	 0.233333
0.465119 	 0.000000
0.206264 	 1.000000
0.161549 	 0.000000
0.172920 	 0.167742
0.373380 	 0.325581
0.273217 	 0.000000
0.160507 	 1.000000
0.443626 	 1.000000
0.279631 	 0.000000
0.328130 	 0.000000
0.099597 	 0.586207
0.199470 	 0.288660
0.237845 	 0.000000
0.079861 	 0.342857
0.328783 	 0.000000
0.256751 	 1.000000
0.430233 	 1.000000
0.119298 	 0.725000
0.206652 	 0.000000
0.000000 	 0.000000
---------
0.502716 ( 51 ) precision 0.662372  recall 0.611364  f-micro 0.635847 
---------

---------------------------------
Thresh 	 F_score
0.263249 	 0.919420
0.317768 	 1.000000
0.316377 	 1.000000
0.046474 	 0.000000
0.220744 	 1.000000
0.435387 	 0.000000
0.229331 	 0.000000
0.261960 	 1.000000
0.041057 	 0.000000
0.208614 	 0.851351
0.362575 	 1.000000
0.430835 	 1.000000
0.254004 	 0.028571
0.124004 	 0.000000
0.360198 	 1.000000
