
0.191725 ( 20 ) precision 0.393931  recall 0.768465  f-micro 0.520859 
0.174856 ( 20 ) precision 0.422250  recall 0.714772  f-micro 0.530882 
0.176664 ( 20 ) precision 0.445712  recall 0.688842  f-micro 0.541227 
0.182982 ( 20 ) precision 0.468112  recall 0.675746  f-micro 0.553084 
0.180994 ( 20 ) precision 0.485941  recall 0.666317  f-micro 0.562011 
0.190238 ( 20 ) precision 0.503328  recall 0.660293  f-micro 0.571224 
0.189295 ( 20 ) precision 0.517800  recall 0.655242  f-micro 0.578469 
0.195972 ( 20 ) precision 0.528070  recall 0.651650  f-micro 0.583387 
0.193691 ( 20 ) precision 0.537439  recall 0.649206  f-micro 0.588059 
0.195130 ( 20 ) precision 0.543585  recall 0.646464  f-micro 0.590577 
0.189300 ( 20 ) precision 0.548938  recall 0.643412  f-micro 0.592432 
0.194680 ( 20 ) precision 0.555430  recall 0.641697  f-micro 0.595455 
0.193070 ( 20 ) precision 0.562071  recall 0.640005  f-micro 0.598512 
0.195678 ( 20 ) precision 0.567540  recall 0.638891  f-micro 0.601105 
0.189027 ( 20 ) precision 0.571679  recall 0.637681  f-micro 0.602879 
0.192318 ( 20 ) precision 0.576295  recall 0.636917  f-micro 0.605092 
0.201533 ( 20 ) precision 0.580193  recall 0.636151  f-micro 0.606885 
0.205237 ( 20 ) precision 0.582922  recall 0.636546  f-micro 0.608555 
0.196463 ( 20 ) precision 0.583997  recall 0.636679  f-micro 0.609201 
0.196968 ( 20 ) precision 0.584534  recall 0.637323  f-micro 0.609788 
0.201081 ( 20 ) precision 0.585767  recall 0.637332  f-micro 0.610463 
0.194339 ( 20 ) precision 0.585679  recall 0.637054  f-micro 0.610287 
0.193899 ( 20 ) precision 0.585177  recall 0.636596  f-micro 0.609805 
0.196741 ( 20 ) precision 0.585483  recall 0.636459  f-micro 0.609908 
0.197801 ( 20 ) precision 0.585526  recall 0.636061  f-micro 0.609748 
0.195410 ( 20 ) precision 0.587637  recall 0.635290  f-micro 0.610535 
0.188302 ( 20 ) precision 0.588810  recall 0.635178  f-micro 0.611116 
0.196812 ( 20 ) precision 0.590089  recall 0.634887  f-micro 0.611669 
0.195641 ( 20 ) precision 0.591555  recall 0.634382  f-micro 0.612220 
0.196173 ( 20 ) precision 0.592481  recall 0.633997  f-micro 0.612536 
0.197417 ( 20 ) precision 0.594009  recall 0.633688  f-micro 0.613207 
0.194091 ( 20 ) precision 0.595046  recall 0.633512  f-micro 0.613677 
0.194433 ( 20 ) precision 0.596273  recall 0.633443  f-micro 0.614296 
0.192391 ( 20 ) precision 0.597545  recall 0.632915  f-micro 0.614722 
0.197681 ( 20 ) precision 0.598869  recall 0.632597  f-micro 0.615272 
0.196265 ( 20 ) precision 0.600351  recall 0.632035  f-micro 0.615786 
0.196145 ( 20 ) precision 0.601307  recall 0.631674  f-micro 0.616116 
0.189454 ( 20 ) precision 0.601956  recall 0.631414  f-micro 0.616333 
0.186398 ( 20 ) precision 0.602673  recall 0.631006  f-micro 0.616514 
0.185771 ( 20 ) precision 0.602493  recall 0.631063  f-micro 0.616447 
0.183951 ( 20 ) precision 0.602660  recall 0.631003  f-micro 0.616506 
0.191299 ( 20 ) precision 0.603270  recall 0.631395  f-micro 0.617012 
0.189667 ( 20 ) precision 0.603690  recall 0.631026  f-micro 0.617055 
0.195006 ( 20 ) precision 0.603815  recall 0.631268  f-micro 0.617236 
0.195419 ( 20 ) precision 0.604122  recall 0.630860  f-micro 0.617202 
0.187776 ( 20 ) precision 0.604140  recall 0.630833  f-micro 0.617198 
0.194569 ( 20 ) precision 0.604432  recall 0.630819  f-micro 0.617344 
0.193530 ( 20 ) precision 0.604263  recall 0.630839  f-micro 0.617265 
0.197606 ( 20 ) precision 0.604201  recall 0.630665  f-micro 0.617149 
0.193066 ( 20 ) precision 0.604428  recall 0.630613  f-micro 0.617243 
0.189239 ( 20 ) precision 0.604628  recall 0.630450  f-micro 0.617269 
0.190007 ( 20 ) precision 0.605288  recall 0.630294  f-micro 0.617538 
0.190625 ( 20 ) precision 0.605787  recall 0.630054  f-micro 0.617683 
0.196074 ( 20 ) precision 0.605890  recall 0.630076  f-micro 0.617746 
0.189512 ( 20 ) precision 0.606003  recall 0.629725  f-micro 0.617637 
0.193184 ( 20 ) precision 0.605713  recall 0.629986  f-micro 0.617611 
0.193893 ( 20 ) precision 0.605186  recall 0.629925  f-micro 0.617308 
0.190938 ( 20 ) precision 0.605217  recall 0.629848  f-micro 0.617287 
0.186033 ( 20 ) precision 0.604825  recall 0.629720  f-micro 0.617021 
0.188342 ( 20 ) precision 0.604771  recall 0.629640  f-micro 0.616955 
0.194905 ( 20 ) precision 0.605184  recall 0.629537  f-micro 0.617121 
0.196632 ( 20 ) precision 0.605319  recall 0.629657  f-micro 0.617248 
0.192434 ( 20 ) precision 0.605623  recall 0.629341  f-micro 0.617255 
0.195967 ( 20 ) precision 0.606003  recall 0.629256  f-micro 0.617411 
0.191280 ( 20 ) precision 0.606437  recall 0.629157  f-micro 0.617588 
0.193588 ( 20 ) precision 0.606686  recall 0.628990  f-micro 0.617637 
0.194478 ( 20 ) precision 0.606713  recall 0.628875  f-micro 0.617595 
0.199328 ( 20 ) precision 0.606477  recall 0.628940  f-micro 0.617505 
0.191985 ( 20 ) precision 0.606102  recall 0.628639  f-micro 0.617165 
0.195846 ( 20 ) precision 0.605845  recall 0.628631  f-micro 0.617028 
0.191485 ( 20 ) precision 0.606479  recall 0.628432  f-micro 0.617260 
0.194053 ( 20 ) precision 0.606478  recall 0.628310  f-micro 0.617201 
0.194427 ( 20 ) precision 0.606457  recall 0.628142  f-micro 0.617109 
0.196277 ( 20 ) precision 0.606501  recall 0.628212  f-micro 0.617165 
0.193283 ( 20 ) precision 0.606620  recall 0.628245  f-micro 0.617243 
0.195328 ( 20 ) precision 0.606710  recall 0.628229  f-micro 0.617282 
0.194885 ( 20 ) precision 0.606915  recall 0.628146  f-micro 0.617348 
0.191742 ( 20 ) precision 0.606935  recall 0.628212  f-micro 0.617390 
0.191394 ( 20 ) precision 0.607135  recall 0.627985  f-micro 0.617384 
0.198265 ( 20 ) precision 0.607429  recall 0.627809  f-micro 0.617451 
0.198734 ( 20 ) precision 0.607639  recall 0.627735  f-micro 0.617523 
0.197516 ( 20 ) precision 0.607548  recall 0.627618  f-micro 0.617420 
0.198691 ( 20 ) precision 0.607653  recall 0.627592  f-micro 0.617461 
0.202890 ( 20 ) precision 0.607508  recall 0.627735  f-micro 0.617456 
0.199358 ( 20 ) precision 0.607421  recall 0.627677  f-micro 0.617383 
0.201430 ( 20 ) precision 0.607174  recall 0.627803  f-micro 0.617316 
0.198324 ( 20 ) precision 0.606923  recall 0.627903  f-micro 0.617235 
0.199003 ( 20 ) precision 0.606789  recall 0.628024  f-micro 0.617224 
0.197044 ( 20 ) precision 0.606698  recall 0.628066  f-micro 0.617197 
0.195845 ( 20 ) precision 0.606314  recall 0.628328  f-micro 0.617125 
0.201367 ( 20 ) precision 0.606314  recall 0.628434  f-micro 0.617176 
