
0.222980 ( 20 ) precision 0.523390  recall 0.715034  f-micro 0.604383 
0.223567 ( 20 ) precision 0.574167  recall 0.690414  f-micro 0.626947 
0.214018 ( 20 ) precision 0.602610  recall 0.677318  f-micro 0.637784 
0.209116 ( 20 ) precision 0.619840  recall 0.668544  f-micro 0.643271 
0.207908 ( 20 ) precision 0.631958  recall 0.662546  f-micro 0.646890 
0.207961 ( 20 ) precision 0.640557  recall 0.658285  f-micro 0.649300 
0.208031 ( 20 ) precision 0.647011  recall 0.655242  f-micro 0.651101 
0.208204 ( 20 ) precision 0.652148  recall 0.652960  f-micro 0.652554 
0.208363 ( 20 ) precision 0.656342  recall 0.651184  f-micro 0.653753 
0.207625 ( 20 ) precision 0.659698  recall 0.649607  f-micro 0.654614 
0.207625 ( 20 ) precision 0.662482  recall 0.648317  f-micro 0.655323 
0.207625 ( 20 ) precision 0.664828  recall 0.647241  f-micro 0.655917 
0.207625 ( 20 ) precision 0.666833  recall 0.646331  f-micro 0.656422 
0.207625 ( 20 ) precision 0.668565  recall 0.645551  f-micro 0.656857 
0.207625 ( 20 ) precision 0.670078  recall 0.644875  f-micro 0.657235 
0.207625 ( 20 ) precision 0.671409  recall 0.644284  f-micro 0.657567 
0.207625 ( 20 ) precision 0.672590  recall 0.643762  f-micro 0.657860 
0.207625 ( 20 ) precision 0.673645  recall 0.643298  f-micro 0.658122 
0.207625 ( 20 ) precision 0.674594  recall 0.642883  f-micro 0.658357 
0.207625 ( 20 ) precision 0.675450  recall 0.642509  f-micro 0.658568 
0.207625 ( 20 ) precision 0.676228  recall 0.642171  f-micro 0.658760 
0.207625 ( 20 ) precision 0.676937  recall 0.641864  f-micro 0.658934 
0.207625 ( 20 ) precision 0.677587  recall 0.641583  f-micro 0.659094 
0.207625 ( 20 ) precision 0.678184  recall 0.641326  f-micro 0.659240 
0.207625 ( 20 ) precision 0.678735  recall 0.641090  f-micro 0.659375 
0.207625 ( 20 ) precision 0.679244  recall 0.640871  f-micro 0.659500 
0.207625 ( 20 ) precision 0.679717  recall 0.640669  f-micro 0.659615 
0.207625 ( 20 ) precision 0.680157  recall 0.640481  f-micro 0.659723 
0.207625 ( 20 ) precision 0.680567  recall 0.640306  f-micro 0.659823 
0.207625 ( 20 ) precision 0.680950  recall 0.640143  f-micro 0.659916 
0.207625 ( 20 ) precision 0.681310  recall 0.639991  f-micro 0.660004 
0.207625 ( 20 ) precision 0.681647  recall 0.639847  f-micro 0.660086 
0.207625 ( 20 ) precision 0.681964  recall 0.639713  f-micro 0.660163 
0.207625 ( 20 ) precision 0.682263  recall 0.639586  f-micro 0.660236 
0.207625 ( 20 ) precision 0.682546  recall 0.639467  f-micro 0.660305 
0.207625 ( 20 ) precision 0.682813  recall 0.639355  f-micro 0.660369 
0.207625 ( 20 ) precision 0.683066  recall 0.639248  f-micro 0.660431 
0.207625 ( 20 ) precision 0.683305  recall 0.639147  f-micro 0.660489 
0.207625 ( 20 ) precision 0.683533  recall 0.639051  f-micro 0.660544 
0.207625 ( 20 ) precision 0.683750  recall 0.638960  f-micro 0.660597 
0.207625 ( 20 ) precision 0.683956  recall 0.638874  f-micro 0.660646 
0.207625 ( 20 ) precision 0.684152  recall 0.638791  f-micro 0.660694 
0.207625 ( 20 ) precision 0.684340  recall 0.638713  f-micro 0.660739 
0.207625 ( 20 ) precision 0.684519  recall 0.638638  f-micro 0.660783 
0.207625 ( 20 ) precision 0.684690  recall 0.638566  f-micro 0.660824 
0.207625 ( 20 ) precision 0.684854  recall 0.638497  f-micro 0.660864 
0.207625 ( 20 ) precision 0.685011  recall 0.638432  f-micro 0.660902 
0.207625 ( 20 ) precision 0.685162  recall 0.638369  f-micro 0.660938 
0.207625 ( 20 ) precision 0.685306  recall 0.638308  f-micro 0.660973 
0.207625 ( 20 ) precision 0.685445  recall 0.638250  f-micro 0.661006 
0.207625 ( 20 ) precision 0.685579  recall 0.638195  f-micro 0.661039 
0.207625 ( 20 ) precision 0.685707  recall 0.638141  f-micro 0.661070 
0.207625 ( 20 ) precision 0.685831  recall 0.638090  f-micro 0.661099 
0.207625 ( 20 ) precision 0.685950  recall 0.638040  f-micro 0.661128 
0.207625 ( 20 ) precision 0.686065  recall 0.637992  f-micro 0.661156 
0.207625 ( 20 ) precision 0.686176  recall 0.637946  f-micro 0.661183 
0.207625 ( 20 ) precision 0.686283  recall 0.637902  f-micro 0.661208 
0.207625 ( 20 ) precision 0.686386  recall 0.637859  f-micro 0.661233 
0.207625 ( 20 ) precision 0.686486  recall 0.637817  f-micro 0.661257 
0.207625 ( 20 ) precision 0.686582  recall 0.637777  f-micro 0.661281 
0.207625 ( 20 ) precision 0.686676  recall 0.637738  f-micro 0.661303 
0.207625 ( 20 ) precision 0.686766  recall 0.637701  f-micro 0.661325 
0.207625 ( 20 ) precision 0.686854  recall 0.637665  f-micro 0.661346 
0.207625 ( 20 ) precision 0.686939  recall 0.637629  f-micro 0.661366 
0.207625 ( 20 ) precision 0.687021  recall 0.637595  f-micro 0.661386 
0.207625 ( 20 ) precision 0.687101  recall 0.637562  f-micro 0.661405 
0.207625 ( 20 ) precision 0.687179  recall 0.637530  f-micro 0.661424 
0.207625 ( 20 ) precision 0.687254  recall 0.637499  f-micro 0.661442 
0.207625 ( 20 ) precision 0.687327  recall 0.637469  f-micro 0.661460 
0.207625 ( 20 ) precision 0.687398  recall 0.637439  f-micro 0.661477 
0.207625 ( 20 ) precision 0.687467  recall 0.637411  f-micro 0.661493 
0.207625 ( 20 ) precision 0.687534  recall 0.637383  f-micro 0.661509 
0.207625 ( 20 ) precision 0.687600  recall 0.637356  f-micro 0.661525 
0.207625 ( 20 ) precision 0.687663  recall 0.637330  f-micro 0.661540 
0.207625 ( 20 ) precision 0.687725  recall 0.637304  f-micro 0.661555 
0.207625 ( 20 ) precision 0.687785  recall 0.637279  f-micro 0.661570 
0.207625 ( 20 ) precision 0.687844  recall 0.637255  f-micro 0.661584 
0.207625 ( 20 ) precision 0.687901  recall 0.637231  f-micro 0.661598 
0.207625 ( 20 ) precision 0.687957  recall 0.637208  f-micro 0.661611 
0.207625 ( 20 ) precision 0.688012  recall 0.637186  f-micro 0.661624 
0.207625 ( 20 ) precision 0.688065  recall 0.637164  f-micro 0.661637 
0.207625 ( 20 ) precision 0.688117  recall 0.637142  f-micro 0.661649 
0.207625 ( 20 ) precision 0.688167  recall 0.637122  f-micro 0.661661 
0.207625 ( 20 ) precision 0.688217  recall 0.637101  f-micro 0.661673 
0.207625 ( 20 ) precision 0.688265  recall 0.637081  f-micro 0.661685 
0.207625 ( 20 ) precision 0.688312  recall 0.637062  f-micro 0.661696 
0.207625 ( 20 ) precision 0.688358  recall 0.637043  f-micro 0.661707 
0.207625 ( 20 ) precision 0.688403  recall 0.637024  f-micro 0.661718 
0.207625 ( 20 ) precision 0.688447  recall 0.637006  f-micro 0.661728 
0.207625 ( 20 ) precision 0.688490  recall 0.636989  f-micro 0.661739 
0.207625 ( 20 ) precision 0.688532  recall 0.636971  f-micro 0.661749 
0.207625 ( 20 ) precision 0.688573  recall 0.636954  f-micro 0.661759 
0.207625 ( 20 ) precision 0.688614  recall 0.636938  f-micro 0.661768 
0.207625 ( 20 ) precision 0.688653  recall 0.636921  f-micro 0.661778 
0.207625 ( 20 ) precision 0.688692  recall 0.636906  f-micro 0.661787 
0.207625 ( 20 ) precision 0.688730  recall 0.636890  f-micro 0.661796 
0.207625 ( 20 ) precision 0.688767  recall 0.636875  f-micro 0.661805 
0.207625 ( 20 ) precision 0.688803  recall 0.636860  f-micro 0.661814 
0.207625 ( 20 ) precision 0.688839  recall 0.636845  f-micro 0.661822 
0.207625 ( 20 ) precision 0.688873  recall 0.636831  f-micro 0.661831 
0.207625 ( 20 ) precision 0.688908  recall 0.636817  f-micro 0.661839 
0.207625 ( 20 ) precision 0.688941  recall 0.636803  f-micro 0.661847 
0.207625 ( 20 ) precision 0.688974  recall 0.636789  f-micro 0.661855 
0.207625 ( 20 ) precision 0.689006  recall 0.636776  f-micro 0.661862 
0.207625 ( 20 ) precision 0.689038  recall 0.636763  f-micro 0.661870 
0.207625 ( 20 ) precision 0.689069  recall 0.636750  f-micro 0.661877 
0.207625 ( 20 ) precision 0.689099  recall 0.636738  f-micro 0.661885 
0.207625 ( 20 ) precision 0.689129  recall 0.636726  f-micro 0.661892 
0.207625 ( 20 ) precision 0.689159  recall 0.636714  f-micro 0.661899 
0.207625 ( 20 ) precision 0.689188  recall 0.636702  f-micro 0.661906 
0.207625 ( 20 ) precision 0.689216  recall 0.636690  f-micro 0.661913 
0.207625 ( 20 ) precision 0.689244  recall 0.636679  f-micro 0.661919 
0.207625 ( 20 ) precision 0.689271  recall 0.636667  f-micro 0.661926 
0.207625 ( 20 ) precision 0.689298  recall 0.636656  f-micro 0.661932 
0.207625 ( 20 ) precision 0.689324  recall 0.636646  f-micro 0.661939 
0.207625 ( 20 ) precision 0.689350  recall 0.636635  f-micro 0.661945 
0.207625 ( 20 ) precision 0.689376  recall 0.636625  f-micro 0.661951 
0.207625 ( 20 ) precision 0.689401  recall 0.636614  f-micro 0.661957 
0.207625 ( 20 ) precision 0.689425  recall 0.636604  f-micro 0.661963 
0.207625 ( 20 ) precision 0.689450  recall 0.636594  f-micro 0.661969 
0.207625 ( 20 ) precision 0.689473  recall 0.636584  f-micro 0.661974 
0.207625 ( 20 ) precision 0.689497  recall 0.636575  f-micro 0.661980 
0.207625 ( 20 ) precision 0.689520  recall 0.636565  f-micro 0.661985 
0.207625 ( 20 ) precision 0.689543  recall 0.636556  f-micro 0.661991 
0.207625 ( 20 ) precision 0.689565  recall 0.636547  f-micro 0.661996 
0.207625 ( 20 ) precision 0.689587  recall 0.636538  f-micro 0.662001 
0.207625 ( 20 ) precision 0.689609  recall 0.636529  f-micro 0.662007 
0.207625 ( 20 ) precision 0.689630  recall 0.636520  f-micro 0.662012 
0.207625 ( 20 ) precision 0.689651  recall 0.636512  f-micro 0.662017 
0.207625 ( 20 ) precision 0.689672  recall 0.636503  f-micro 0.662022 
0.207625 ( 20 ) precision 0.689692  recall 0.636495  f-micro 0.662026 
0.207625 ( 20 ) precision 0.689712  recall 0.636487  f-micro 0.662031 
0.207625 ( 20 ) precision 0.689732  recall 0.636479  f-micro 0.662036 
0.207625 ( 20 ) precision 0.689751  recall 0.636471  f-micro 0.662041 
0.207625 ( 20 ) precision 0.689770  recall 0.636463  f-micro 0.662045 
0.207625 ( 20 ) precision 0.689789  recall 0.636455  f-micro 0.662050 
0.207625 ( 20 ) precision 0.689808  recall 0.636447  f-micro 0.662054 
0.207625 ( 20 ) precision 0.689826  recall 0.636440  f-micro 0.662059 
0.207625 ( 20 ) precision 0.689844  recall 0.636432  f-micro 0.662063 
0.207625 ( 20 ) precision 0.689862  recall 0.636425  f-micro 0.662067 
0.207625 ( 20 ) precision 0.689880  recall 0.636418  f-micro 0.662071 
0.207625 ( 20 ) precision 0.689897  recall 0.636411  f-micro 0.662075 
0.207625 ( 20 ) precision 0.689914  recall 0.636404  f-micro 0.662080 
0.207625 ( 20 ) precision 0.689931  recall 0.636397  f-micro 0.662084 
0.207625 ( 20 ) precision 0.689947  recall 0.636390  f-micro 0.662088 
0.207625 ( 20 ) precision 0.689964  recall 0.636384  f-micro 0.662091 
0.207625 ( 20 ) precision 0.689980  recall 0.636377  f-micro 0.662095 
0.207625 ( 20 ) precision 0.689996  recall 0.636370  f-micro 0.662099 
0.207625 ( 20 ) precision 0.690012  recall 0.636364  f-micro 0.662103 
0.207625 ( 20 ) precision 0.690027  recall 0.636358  f-micro 0.662107 
0.207625 ( 20 ) precision 0.690043  recall 0.636351  f-micro 0.662110 
0.207625 ( 20 ) precision 0.690058  recall 0.636345  f-micro 0.662114 
0.207625 ( 20 ) precision 0.690073  recall 0.636339  f-micro 0.662117 
0.207625 ( 20 ) precision 0.690087  recall 0.636333  f-micro 0.662121 
