0.223505 ( 25 ) precision 0.389340  recall 0.704034  f-micro 0.501399 
0.334323 ( 25 ) precision 0.414502  recall 0.660293  f-micro 0.509293 
0.332182 ( 25 ) precision 0.432786  recall 0.635237  f-micro 0.514823 
0.343319 ( 25 ) precision 0.455617  recall 0.637899  f-micro 0.531565 
0.349757 ( 25 ) precision 0.472562  recall 0.636040  f-micro 0.542247 
0.353523 ( 25 ) precision 0.486109  recall 0.635499  f-micro 0.550855 
0.353349 ( 25 ) precision 0.498700  recall 0.631744  f-micro 0.557393 
0.348182 ( 25 ) precision 0.509152  recall 0.630173  f-micro 0.563235 
0.347220 ( 25 ) precision 0.517734  recall 0.628718  f-micro 0.567854 
0.349342 ( 25 ) precision 0.526239  recall 0.626139  f-micro 0.571859 
0.347877 ( 25 ) precision 0.533420  recall 0.624030  f-micro 0.575178 
0.353120 ( 25 ) precision 0.538488  recall 0.622970  f-micro 0.577656 
0.353151 ( 25 ) precision 0.543546  recall 0.621671  f-micro 0.579989 
0.350918 ( 25 ) precision 0.547412  recall 0.620145  f-micro 0.581513 
0.347640 ( 25 ) precision 0.551086  recall 0.616693  f-micro 0.582047 
0.339433 ( 25 ) precision 0.553410  recall 0.614687  f-micro 0.582441 
0.351111 ( 25 ) precision 0.557318  recall 0.613749  f-micro 0.584174 
0.346136 ( 25 ) precision 0.559694  recall 0.610936  f-micro 0.584194 
0.350754 ( 25 ) precision 0.563287  recall 0.610157  f-micro 0.585786 
0.349859 ( 25 ) precision 0.568165  recall 0.608329  f-micro 0.587561 
0.347759 ( 25 ) precision 0.570339  recall 0.606376  f-micro 0.587806 
0.350725 ( 25 ) precision 0.572319  recall 0.605815  f-micro 0.588590 
0.354615 ( 25 ) precision 0.574643  recall 0.605439  f-micro 0.589639 
0.350943 ( 25 ) precision 0.577229  recall 0.604178  f-micro 0.590396 
0.344725 ( 25 ) precision 0.578181  recall 0.604107  f-micro 0.590860 
0.338703 ( 25 ) precision 0.578393  recall 0.603820  f-micro 0.590833 
0.347976 ( 25 ) precision 0.579312  recall 0.602836  f-micro 0.590840 
0.349577 ( 25 ) precision 0.579628  recall 0.602877  f-micro 0.591024 
0.343678 ( 25 ) precision 0.578407  recall 0.602897  f-micro 0.590399 
0.345834 ( 25 ) precision 0.577644  recall 0.603405  f-micro 0.590244 
0.345002 ( 25 ) precision 0.577695  recall 0.603778  f-micro 0.590449 
