
-------------------- Start --------------------

---------------------------------
Thresh 	 F_score
0.177735 	 0.913120
0.137847 	 1.000000
0.131910 	 1.000000
0.021724 	 0.000000
0.111013 	 1.000000
0.218547 	 0.000000
0.088179 	 0.000000
0.102796 	 1.000000
0.023607 	 0.000000
0.085853 	 0.787500
0.181998 	 1.000000
0.216262 	 0.000000
0.319736 	 0.029851
0.056300 	 0.000000
0.180805 	 1.000000
0.021416 	 0.076923
0.187144 	 1.000000
0.083808 	 0.000000
0.168607 	 1.000000
0.143315 	 1.000000
0.116611 	 0.350515
0.110499 	 1.000000
0.034566 	 0.000000
0.067907 	 0.000000
0.087431 	 0.438710
0.170901 	 1.000000
0.097381 	 1.000000
0.022915 	 0.000000
0.132303 	 1.000000
0.204890 	 1.000000
0.103696 	 0.152381
0.146534 	 0.294118
0.234391 	 0.000000
0.046722 	 0.000000
0.081398 	 0.000000
0.079181 	 0.232932
0.086472 	 0.557983
0.122033 	 0.000000
0.101761 	 1.000000
0.123210 	 1.000000
0.128390 	 0.000000
0.023847 	 0.042553
0.040833 	 0.533333
0.083959 	 0.356436
0.071653 	 0.214286
0.032776 	 0.259259
0.173393 	 0.000000
0.129386 	 1.000000
0.216810 	 1.000000
0.051628 	 0.717391
0.103594 	 0.000000
0.000000 	 0.000000
---------
0.469751 ( 51 )
---------

---------------------------------
Thresh 	 F_score
0.236516 	 0.839974
0.206770 	 1.000000
0.197328 	 1.000000
0.039966 	 0.000000
0.166560 	 1.000000
0.327821 	 0.000000
0.129973 	 0.000000
0.154195 	 1.000000
0.038931 	 0.000000
0.136398 	 0.848485
0.272998 	 1.000000
0.324393 	 0.000000
0.288541 	 0.000000
0.083026 	 0.000000
0.271208 	 1.000000
0.057484 	 0.307692
0.280715 	 1.000000
0.125934 	 0.000000
0.252910 	 1.000000
0.214973 	 1.000000
0.188682 	 0.222222
0.152009 	 1.000000
0.054633 	 0.000000
0.058336 	 0.181818
0.125634 	 0.422265
0.256351 	 1.000000
0.144318 	 1.000000
0.034376 	 0.000000
0.198455 	 1.000000
0.307335 	 1.000000
0.167035 	 0.096386
0.194481 	 0.246154
0.351586 	 0.000000
0.070085 	 1.000000
0.122114 	 0.000000
0.115343 	 0.197674
0.111152 	 0.521739
0.183162 	 0.000000
0.098737 	 1.000000
0.184814 	 1.000000
0.191008 	 0.000000
0.035781 	 0.000000
0.073669 	 0.576271
0.119054 	 0.382022
0.118782 	 0.173913
0.048995 	 0.222222
0.260090 	 0.000000
0.194052 	 1.000000
0.325216 	 1.000000
0.074604 	 0.750000
0.155392 	 0.000000
0.000000 	 0.000000
---------
0.489977 ( 51 )
---------

---------------------------------
Thresh 	 F_score
0.272787 	 0.919014
0.240370 	 1.000000
0.226474 	 1.000000
0.049087 	 0.000000
0.194295 	 1.000000
0.382457 	 0.000000
0.152998 	 0.000000
0.179894 	 1.000000
0.039537 	 0.000000
0.160979 	 0.830450
0.318497 	 1.000000
0.378459 	 0.000000
0.468049 	 0.058824
0.087525 	 0.000000
0.316409 	 1.000000
0.058022 	 0.363636
0.327501 	 1.000000
0.146995 	 0.000000
0.295062 	 1.000000
0.250802 	 1.000000
0.224059 	 0.357895
0.130846 	 1.000000
0.053679 	 0.000000
0.055050 	 0.166667
0.148520 	 0.333333
0.299076 	 1.000000
0.169367 	 1.000000
0.040106 	 0.000000
0.231531 	 1.000000
0.358558 	 1.000000
0.185039 	 0.197531
0.215671 	 0.246154
0.410184 	 0.000000
0.069697 	 1.000000
0.142472 	 0.000000
0.121812 	 0.206061
0.154164 	 0.438554
0.212911 	 0.000000
0.085079 	 1.000000
0.215617 	 1.000000
0.215884 	 0.000000
0.041749 	 0.000000
0.087880 	 0.620690
0.126733 	 0.275862
0.144023 	 0.181818
0.053158 	 0.300000
0.303438 	 0.000000
0.226385 	 1.000000
0.379418 	 1.000000
0.090363 	 0.759494
0.181290 	 0.000000
0.000000 	 0.000000
---------
0.495215 ( 51 )
---------

---------------------------------
Thresh 	 F_score
0.305278 	 0.914016
0.316570 	 1.000000
0.245200 	 1.000000
0.053647 	 0.000000
0.208264 	 1.000000
0.409776 	 0.000000
0.164511 	 0.000000
0.192743 	 1.000000
0.039395 	 0.000000
0.191213 	 0.841060
0.341247 	 1.000000
