
0.216531 ( 20 ) precision 0.435191  recall 0.752750  f-micro 0.551526 
0.225257 ( 20 ) precision 0.490293  recall 0.727606  f-micro 0.585829 
0.212800 ( 20 ) precision 0.522611  recall 0.714336  f-micro 0.603615 
0.206203 ( 20 ) precision 0.548684  recall 0.701807  f-micro 0.615871 
0.202038 ( 20 ) precision 0.567054  recall 0.690623  f-micro 0.622768 
0.202570 ( 20 ) precision 0.581125  recall 0.681683  f-micro 0.627401 
0.206172 ( 20 ) precision 0.592023  recall 0.676420  f-micro 0.631414 
0.205658 ( 20 ) precision 0.601078  recall 0.672080  f-micro 0.634599 
0.206725 ( 20 ) precision 0.608072  recall 0.669053  f-micro 0.637107 
0.207893 ( 20 ) precision 0.613531  recall 0.666946  f-micro 0.639125 
0.205764 ( 20 ) precision 0.618275  recall 0.664413  f-micro 0.640514 
0.205923 ( 20 ) precision 0.621038  recall 0.662869  f-micro 0.641272 
0.205445 ( 20 ) precision 0.624525  recall 0.661643  f-micro 0.642548 
0.204645 ( 20 ) precision 0.627556  recall 0.660406  f-micro 0.643562 
0.206318 ( 20 ) precision 0.629728  recall 0.659263  f-micro 0.644157 
0.207865 ( 20 ) precision 0.630568  recall 0.659017  f-micro 0.644479 
0.206718 ( 20 ) precision 0.630590  recall 0.658706  f-micro 0.644342 
0.206841 ( 20 ) precision 0.630356  recall 0.658460  f-micro 0.644102 
0.205214 ( 20 ) precision 0.629797  recall 0.658377  f-micro 0.643770 
0.208337 ( 20 ) precision 0.628742  recall 0.658434  f-micro 0.643246 
0.206338 ( 20 ) precision 0.627933  recall 0.658210  f-micro 0.642715 
0.205371 ( 20 ) precision 0.629685  recall 0.657603  f-micro 0.643341 
0.206889 ( 20 ) precision 0.630505  recall 0.657344  f-micro 0.643645 
0.202889 ( 20 ) precision 0.631382  recall 0.656932  f-micro 0.643904 
0.206546 ( 20 ) precision 0.633116  recall 0.656490  f-micro 0.644591 
0.204585 ( 20 ) precision 0.634513  recall 0.656143  f-micro 0.645147 
0.206076 ( 20 ) precision 0.635910  recall 0.655724  f-micro 0.645665 
0.206504 ( 20 ) precision 0.637085  recall 0.655261  f-micro 0.646045 
0.203960 ( 20 ) precision 0.638182  recall 0.654793  f-micro 0.646381 
0.203660 ( 20 ) precision 0.638220  recall 0.654479  f-micro 0.646247 
0.205659 ( 20 ) precision 0.638749  recall 0.654151  f-micro 0.646358 
0.206949 ( 20 ) precision 0.639856  recall 0.653860  f-micro 0.646782 
0.203792 ( 20 ) precision 0.640750  recall 0.653301  f-micro 0.646965 
0.204763 ( 20 ) precision 0.641541  recall 0.652898  f-micro 0.647170 
0.208459 ( 20 ) precision 0.642627  recall 0.652533  f-micro 0.647542 
0.207939 ( 20 ) precision 0.643633  recall 0.652334  f-micro 0.647955 
0.207007 ( 20 ) precision 0.644301  recall 0.652273  f-micro 0.648262 
0.206721 ( 20 ) precision 0.644927  recall 0.651995  f-micro 0.648442 
0.201801 ( 20 ) precision 0.645298  recall 0.651556  f-micro 0.648412 
0.206587 ( 20 ) precision 0.645907  recall 0.651270  f-micro 0.648578 
0.207649 ( 20 ) precision 0.646071  recall 0.651280  f-micro 0.648665 
0.203375 ( 20 ) precision 0.646325  recall 0.651226  f-micro 0.648766 
0.205307 ( 20 ) precision 0.646713  recall 0.650944  f-micro 0.648821 
0.204925 ( 20 ) precision 0.646457  recall 0.650936  f-micro 0.648688 
0.204430 ( 20 ) precision 0.645950  recall 0.651033  f-micro 0.648482 
0.203077 ( 20 ) precision 0.645138  recall 0.651229  f-micro 0.648169 
0.202488 ( 20 ) precision 0.645441  recall 0.651182  f-micro 0.648299 
0.203899 ( 20 ) precision 0.645736  recall 0.651366  f-micro 0.648539 
0.208134 ( 20 ) precision 0.646133  recall 0.651383  f-micro 0.648747 
0.207413 ( 20 ) precision 0.646307  recall 0.651304  f-micro 0.648796 
0.207275 ( 20 ) precision 0.646315  recall 0.651167  f-micro 0.648732 
0.208770 ( 20 ) precision 0.645985  recall 0.651126  f-micro 0.648546 
0.206481 ( 20 ) precision 0.646393  recall 0.650948  f-micro 0.648663 
0.206454 ( 20 ) precision 0.646736  recall 0.650738  f-micro 0.648731 
0.202701 ( 20 ) precision 0.646250  recall 0.650688  f-micro 0.648462 
0.204678 ( 20 ) precision 0.646326  recall 0.650649  f-micro 0.648481 
0.204457 ( 20 ) precision 0.646519  recall 0.650648  f-micro 0.648577 
0.201952 ( 20 ) precision 0.646803  recall 0.650530  f-micro 0.648661 
0.202749 ( 20 ) precision 0.647131  recall 0.650549  f-micro 0.648835 
0.203723 ( 20 ) precision 0.647441  recall 0.650550  f-micro 0.648992 
0.207134 ( 20 ) precision 0.647681  recall 0.650568  f-micro 0.649122 
0.204425 ( 20 ) precision 0.647932  recall 0.650636  f-micro 0.649281 
0.202628 ( 20 ) precision 0.648016  recall 0.650711  f-micro 0.649361 
0.205077 ( 20 ) precision 0.648048  recall 0.650791  f-micro 0.649417 
0.202998 ( 20 ) precision 0.647889  recall 0.650844  f-micro 0.649363 
