
-------------------- Start --------------------

---------------------------------
Thresh 	 F_score
0.101371 	 0.870652
0.000000 	 0.000000
0.000000 	 0.000000
0.263519 	 0.000000
0.214710 	 0.000000
0.000000 	 0.000000
0.000000 	 0.000000
0.000000 	 0.000000
0.000000 	 0.000000
0.057121 	 0.618357
0.000000 	 0.000000
0.000000 	 0.000000
0.196453 	 0.000000
0.000000 	 0.000000
0.000000 	 0.000000
0.151195 	 0.000000
0.000000 	 0.000000
0.193262 	 0.000000
0.000000 	 0.000000
0.253775 	 1.000000
0.147442 	 0.000000
0.000000 	 0.000000
0.000000 	 0.000000
0.000000 	 0.000000
0.139726 	 0.321705
0.000000 	 0.000000
0.000000 	 0.000000
0.214910 	 0.000000
0.000000 	 0.000000
0.258602 	 1.000000
0.064388 	 0.101449
0.153433 	 0.160000
0.000000 	 0.000000
0.229749 	 0.000000
0.000000 	 0.000000
0.067813 	 0.222222
0.049081 	 0.553377
0.243357 	 0.000000
0.000000 	 0.000000
0.000000 	 0.000000
0.191299 	 0.000000
0.218914 	 0.000000
0.210760 	 0.212766
0.123848 	 0.000000
0.175463 	 0.250000
0.000000 	 0.000000
0.206925 	 0.000000
0.000000 	 0.000000
0.000000 	 0.000000
0.062633 	 0.349727
0.000000 	 0.000000
0.000000 	 0.000000
---------
0.226410 ( 25 )
---------

---------------------------------
Thresh 	 F_score
0.124868 	 0.876864
0.000000 	 0.000000
0.000000 	 0.000000
0.351359 	 0.000000
0.286279 	 1.000000
0.000000 	 0.000000
0.000000 	 0.000000
0.000000 	 0.000000
0.000000 	 0.000000
0.071817 	 0.631068
0.000000 	 0.000000
0.000000 	 0.000000
0.196043 	 0.000000
0.000000 	 0.000000
0.000000 	 0.000000
0.204036 	 0.000000
0.000000 	 0.000000
0.257683 	 0.000000
0.000000 	 0.000000
0.338367 	 1.000000
0.130277 	 0.027397
0.000000 	 0.000000
0.000000 	 0.000000
0.000000 	 0.000000
0.182065 	 0.244032
0.000000 	 0.000000
0.000000 	 0.000000
0.286547 	 1.000000
0.000000 	 0.000000
0.344803 	 1.000000
0.078864 	 0.083682
0.139727 	 0.134328
0.000000 	 0.000000
0.306333 	 1.000000
0.000000 	 0.000000
0.091070 	 0.196172
0.073678 	 0.550523
0.324475 	 0.000000
0.000000 	 0.000000
0.000000 	 0.000000
0.295192 	 0.000000
0.291886 	 0.000000
0.281014 	 0.228571
0.159316 	 0.000000
0.233950 	 0.275862
0.000000 	 0.000000
0.275900 	 0.000000
0.000000 	 0.000000
0.000000 	 0.000000
0.086705 	 0.366864
0.000000 	 0.000000
0.000000 	 0.000000
---------
0.344615 ( 25 )
---------

---------------------------------
Thresh 	 F_score
0.144627 	 0.875489
0.000000 	 0.000000
0.000000 	 0.000000
0.395278 	 0.000000
0.322064 	 1.000000
0.000000 	 0.000000
0.000000 	 0.000000
0.000000 	 0.000000
0.000000 	 0.000000
0.080031 	 0.621687
0.000000 	 0.000000
0.000000 	 0.000000
0.264639 	 0.000000
0.000000 	 0.000000
0.000000 	 0.000000
0.229175 	 0.000000
0.000000 	 0.000000
0.289893 	 0.000000
0.000000 	 0.000000
0.380663 	 1.000000
0.121415 	 0.019608
0.000000 	 0.000000
0.000000 	 0.000000
0.000000 	 0.000000
0.193359 	 0.276382
0.000000 	 0.000000
0.000000 	 0.000000
0.322365 	 1.000000
0.000000 	 0.000000
0.387903 	 1.000000
0.094480 	 0.101852
0.156868 	 0.169492
0.000000 	 0.000000
0.344624 	 1.000000
0.000000 	 0.000000
0.102702 	 0.167131
0.078895 	 0.532699
0.365035 	 0.000000
0.000000 	 0.000000
0.000000 	 0.000000
0.347149 	 0.000000
0.328372 	 0.000000
0.316140 	 0.250000
0.190211 	 0.000000
0.263194 	 0.105263
0.000000 	 0.000000
0.310388 	 0.000000
0.000000 	 0.000000
0.000000 	 0.000000
0.093333 	 0.413333
0.000000 	 0.000000
0.000000 	 0.000000
---------
0.341317 ( 25 )
---------

---------------------------------
Thresh 	 F_score
0.154193 	 0.872891
0.000000 	 0.000000
0.000000 	 0.000000
0.421630 	 0.000000
0.343535 	 1.000000
0.000000 	 0.000000
0.000000 	 0.000000
0.000000 	 0.000000
0.000000 	 0.000000
0.086839 	 0.640199
0.000000 	 0.000000
0.000000 	 0.000000
0.306451 	 0.000000
0.000000 	 0.000000
0.000000 	 0.000000
0.201959 	 0.000000
0.000000 	 0.000000
0.309219 	 0.000000
0.000000 	 0.000000
0.406040 	 1.000000
0.156001 	 0.000000
0.000000 	 0.000000
0.000000 	 0.000000
0.000000 	 0.000000
0.228757 	 0.176829
0.000000 	 0.000000
0.000000 	 0.000000
0.343856 	 1.000000
0.000000 	 0.000000
0.413764 	 1.000000
0.106461 	 0.110553
0.148141 	 0.178862
0.000000 	 0.000000
0.367599 	 1.000000
0.000000 	 0.000000
0.109416 	 0.186528
0.087907 	 0.546330
0.389371 	 0.000000
0.000000 	 0.000000
0.000000 	 0.000000
0.354509 	 0.000000
0.352951 	 0.000000
0.337216 	 0.258065
0.201593 	 0.000000
0.280740 	 0.105263
0.000000 	 0.000000
0.331080 	 0.000000
0.000000 	 0.000000
0.000000 	 0.000000
0.097210 	 0.436620
0.000000 	 0.000000
0.000000 	 0.000000
---------
0.340486 ( 25 )
---------

---------------------------------
Thresh 	 F_score
0.161357 	 0.885006
0.000000 	 0.000000
0.000000 	 0.000000
0.439198 	 0.000000
0.366747 	 1.000000
0.000000 	 0.000000
0.000000 	 0.000000
0.000000 	 0.000000
0.000000 	 0.000000
0.091732 	 0.668367
0.000000 	 0.000000
0.000000 	 0.000000
0.333587 	 0.000000
0.000000 	 0.000000
0.000000 	 0.000000
0.218901 	 0.000000
0.000000 	 0.000000
0.322103 	 0.000000
0.000000 	 0.000000
0.422958 	 1.000000
0.147091 	 0.057143
0.000000 	 0.000000
0.000000 	 0.000000
0.000000 	 0.000000
0.236378 	 0.147692
0.000000 	 0.000000
0.000000 	 0.000000
0.358184 	 1.000000
0.000000 	 0.000000
0.431004 	 1.000000
0.105162 	 0.101523
0.146610 	 0.177419
0.000000 	 0.000000
0.382916 	 1.000000
0.000000 	 0.000000
0.114147 	 0.173653
0.100963 	 0.530210
0.405594 	 0.000000
0.000000 	 0.000000
0.000000 	 0.000000
0.342893 	 0.000000
0.367097 	 0.000000
0.351267 	 0.258065
0.215664 	 0.000000
0.292438 	 0.105263
0.000000 	 0.000000
0.344875 	 0.000000
0.000000 	 0.000000
0.000000 	 0.000000
0.102794 	 0.436620
0.000000 	 0.000000
0.000000 	 0.000000
---------
0.341638 ( 25 )
---------

---------------------------------
Thresh 	 F_score
0.163157 	 0.879096
0.000000 	 0.000000
0.000000 	 0.000000
0.451747 	 0.000000
0.383326 	 1.000000
0.000000 	 0.000000
0.000000 	 0.000000
0.000000 	 0.000000
0.000000 	 0.000000
0.094169 	 0.663185
0.000000 	 0.000000
0.000000 	 0.000000
0.353282 	 0.000000
0.000000 	 0.000000
0.000000 	 0.000000
0.231756 	 0.000000
0.000000 	 0.000000
0.331306 	 0.000000
0.000000 	 0.000000
0.435043 	 1.000000
0.162132 	 0.076923
0.000000 	 0.000000
0.000000 	 0.000000
0.000000 	 0.000000
0.240434 	 0.131579
0.000000 	 0.000000
0.000000 	 0.000000
0.368418 	 1.000000
0.000000 	 0.000000
0.443318 	 1.000000
0.107473 	 0.116505
0.152373 	 0.165289
0.000000 	 0.000000
0.393856 	 1.000000
0.000000 	 0.000000
0.118795 	 0.191358
0.102270 	 0.540024
0.417183 	 0.000000
0.000000 	 0.000000
0.000000 	 0.000000
0.335037 	 0.000000
0.379121 	 0.000000
0.361303 	 0.258065
0.224557 	 0.000000
0.300793 	 0.111111
0.000000 	 0.000000
0.354729 	 0.000000
0.000000 	 0.000000
0.000000 	 0.000000
0.106315 	 0.436620
0.000000 	 0.000000
0.000000 	 0.000000
---------
0.342790 ( 25 )
---------

---------------------------------
Thresh 	 F_score
0.168063 	 0.879457
0.000000 	 0.000000
0.000000 	 0.000000
0.461158 	 0.000000
0.389088 	 1.000000
0.000000 	 0.000000
0.000000 	 0.000000
0.000000 	 0.000000
0.000000 	 0.000000
0.095363 	 0.680739
0.000000 	 0.000000
0.000000 	 0.000000
0.367960 	 0.000000
0.000000 	 0.000000
0.000000 	 0.000000
0.242350 	 0.000000
0.000000 	 0.000000
0.338209 	 0.000000
0.000000 	 0.000000
0.444106 	 1.000000
0.174469 	 0.040816
0.000000 	 0.000000
0.000000 	 0.000000
0.000000 	 0.000000
0.238279 	 0.146032
0.000000 	 0.000000
0.000000 	 0.000000
0.376093 	 1.000000
0.000000 	 0.000000
0.452554 	 1.000000
0.113214 	 0.086022
0.171521 	 0.180000
0.000000 	 0.000000
0.402062 	 1.000000
0.000000 	 0.000000
0.120941 	 0.176678
0.105396 	 0.515789
0.425874 	 0.000000
0.000000 	 0.000000
0.000000 	 0.000000
0.356025 	 0.000000
0.386460 	 0.000000
0.368830 	 0.258065
0.231208 	 0.000000
0.307059 	 0.105263
0.000000 	 0.000000
0.362119 	 0.000000
0.000000 	 0.000000
0.000000 	 0.000000
0.112174 	 0.512397
0.000000 	 0.000000
0.000000 	 0.000000
---------
0.343250 ( 25 )
---------

---------------------------------
Thresh 	 F_score
0.170341 	 0.883484
0.000000 	 0.000000
0.000000 	 0.000000
0.468478 	 0.000000
0.399501 	 1.000000
0.000000 	 0.000000
0.000000 	 0.000000
0.000000 	 0.000000
0.000000 	 0.000000
0.098964 	 0.661376
0.000000 	 0.000000
0.000000 	 0.000000
0.377824 	 0.000000
0.000000 	 0.000000
0.000000 	 0.000000
0.250335 	 0.000000
0.000000 	 0.000000
0.343577 	 0.000000
0.000000 	 0.000000
0.451156 	 1.000000
0.165635 	 0.039216
0.000000 	 0.000000
0.000000 	 0.000000
0.000000 	 0.000000
0.242726 	 0.162338
0.000000 	 0.000000
0.000000 	 0.000000
0.382063 	 1.000000
0.000000 	 0.000000
0.459737 	 1.000000
0.112992 	 0.086486
0.165007 	 0.206186
0.000000 	 0.000000
0.408444 	 1.000000
0.000000 	 0.000000
0.122774 	 0.195719
0.107102 	 0.557668
0.432634 	 0.000000
0.000000 	 0.000000
0.000000 	 0.000000
0.373015 	 0.000000
0.392168 	 0.000000
0.374685 	 0.200000
0.237342 	 0.000000
0.311933 	 0.105263
0.000000 	 0.000000
0.367867 	 0.000000
0.000000 	 0.000000
0.000000 	 0.000000
0.113870 	 0.516667
0.000000 	 0.000000
0.000000 	 0.000000
---------
0.344576 ( 25 )
---------

---------------------------------
Thresh 	 F_score
0.173112 	 0.876494
0.000000 	 0.000000
0.000000 	 0.000000
0.474334 	 0.000000
0.402493 	 1.000000
0.000000 	 0.000000
0.000000 	 0.000000
0.000000 	 0.000000
0.000000 	 0.000000
0.101375 	 0.682171
0.000000 	 0.000000
0.000000 	 0.000000
0.386920 	 0.000000
0.000000 	 0.000000
0.000000 	 0.000000
0.234658 	 0.000000
0.000000 	 0.000000
0.347872 	 0.000000
0.000000 	 0.000000
0.456795 	 1.000000
0.158330 	 0.000000
0.000000 	 0.000000
0.000000 	 0.000000
0.000000 	 0.000000
0.256187 	 0.160000
0.000000 	 0.000000
0.000000 	 0.000000
0.386839 	 1.000000
0.000000 	 0.000000
0.465484 	 1.000000
0.119141 	 0.126984
0.167276 	 0.148936
0.000000 	 0.000000
0.413549 	 1.000000
0.000000 	 0.000000
0.124060 	 0.187311
0.106669 	 0.515544
0.438042 	 0.000000
0.000000 	 0.000000
0.000000 	 0.000000
0.374241 	 0.000000
0.398078 	 0.000000
0.379368 	 0.200000
0.244172 	 0.000000
0.315833 	 0.105263
0.000000 	 0.000000
0.372465 	 0.000000
0.000000 	 0.000000
0.000000 	 0.000000
0.114160 	 0.516667
0.000000 	 0.000000
0.000000 	 0.000000
---------
0.340775 ( 25 )
---------

---------------------------------
Thresh 	 F_score
0.173660 	 0.891691
0.000000 	 0.000000
0.000000 	 0.000000
0.479125 	 0.000000
0.404940 	 1.000000
0.000000 	 0.000000
0.000000 	 0.000000
0.000000 	 0.000000
0.000000 	 0.000000
0.103273 	 0.668421
0.000000 	 0.000000
0.000000 	 0.000000
0.394396 	 0.000000
0.000000 	 0.000000
0.000000 	 0.000000
0.241767 	 0.000000
0.000000 	 0.000000
0.351386 	 0.000000
0.000000 	 0.000000
0.461409 	 1.000000
0.153284 	 0.057971
0.000000 	 0.000000
0.000000 	 0.000000
0.000000 	 0.000000
0.257169 	 0.145110
0.000000 	 0.000000
0.000000 	 0.000000
0.390746 	 1.000000
0.000000 	 0.000000
0.470186 	 1.000000
0.120785 	 0.112821
0.179832 	 0.148936
0.000000 	 0.000000
0.417726 	 1.000000
0.000000 	 0.000000
0.125282 	 0.149351
0.105438 	 0.534653
0.442467 	 0.000000
0.000000 	 0.000000
0.000000 	 0.000000
0.365888 	 0.000000
0.402913 	 0.000000
0.383200 	 0.200000
0.248622 	 0.000000
0.319023 	 0.105263
0.000000 	 0.000000
0.376228 	 0.000000
0.000000 	 0.000000
0.000000 	 0.000000
0.115032 	 0.516667
0.000000 	 0.000000
0.000000 	 0.000000
---------
0.341235 ( 25 )
---------

---------------------------------
Thresh 	 F_score
0.173925 	 0.882151
0.000000 	 0.000000
0.000000 	 0.000000
0.483118 	 0.000000
0.406980 	 1.000000
0.000000 	 0.000000
0.000000 	 0.000000
0.000000 	 0.000000
0.000000 	 0.000000
0.106100 	 0.680628
0.000000 	 0.000000
0.000000 	 0.000000
0.400668 	 0.000000
0.000000 	 0.000000
0.000000 	 0.000000
0.246600 	 0.000000
0.000000 	 0.000000
0.354314 	 0.000000
0.000000 	 0.000000
0.465254 	 1.000000
0.148305 	 0.029412
0.000000 	 0.000000
0.000000 	 0.000000
0.000000 	 0.000000
0.258301 	 0.154839
0.000000 	 0.000000
0.000000 	 0.000000
0.394002 	 1.000000
0.000000 	 0.000000
0.474104 	 1.000000
0.125076 	 0.080460
0.180840 	 0.187500
0.000000 	 0.000000
0.421207 	 1.000000
0.000000 	 0.000000
0.126149 	 0.172840
0.107907 	 0.531293
0.446154 	 0.000000
0.000000 	 0.000000
0.000000 	 0.000000
0.377316 	 0.000000
0.406942 	 0.000000
0.386394 	 0.200000
0.251678 	 0.000000
0.321681 	 0.105263
0.000000 	 0.000000
0.379363 	 0.000000
0.000000 	 0.000000
0.000000 	 0.000000
0.117119 	 0.516667
0.000000 	 0.000000
0.000000 	 0.000000
---------
0.341642 ( 25 )
---------
