
0.183807 ( 29 ) precision 0.731861  recall 0.596095  f-micro 0.657038 
0.202432 ( 29 ) precision 0.703278  recall 0.628469  f-micro 0.663772 
0.197109 ( 29 ) precision 0.698422  recall 0.636691  f-micro 0.666129 
0.185611 ( 29 ) precision 0.706977  recall 0.624872  f-micro 0.663393 
0.182346 ( 29 ) precision 0.728814  recall 0.596608  f-micro 0.656118 
0.178963 ( 29 ) precision 0.733504  recall 0.588386  f-micro 0.652980 
0.193982 ( 29 ) precision 0.714454  recall 0.622302  f-micro 0.665202 
0.196327 ( 29 ) precision 0.706254  recall 0.632580  f-micro 0.667390 
0.196464 ( 29 ) precision 0.706659  recall 0.632580  f-micro 0.667570 
0.186284 ( 29 ) precision 0.710357  recall 0.623844  f-micro 0.664295 
0.183772 ( 29 ) precision 0.719542  recall 0.613052  f-micro 0.662042 
0.198403 ( 29 ) precision 0.713012  recall 0.616650  f-micro 0.661339 
0.204372 ( 29 ) precision 0.711425  recall 0.620761  f-micro 0.663008 
0.210268 ( 29 ) precision 0.718209  recall 0.618191  f-micro 0.664457 
0.207616 ( 29 ) precision 0.713695  recall 0.621274  f-micro 0.664286 
0.207753 ( 29 ) precision 0.714117  recall 0.621274  f-micro 0.664468 
0.205655 ( 29 ) precision 0.719403  recall 0.619219  f-micro 0.665562 
0.202277 ( 29 ) precision 0.717872  recall 0.617163  f-micro 0.663719 
0.198215 ( 29 ) precision 0.715564  recall 0.616650  f-micro 0.662434 
0.209241 ( 29 ) precision 0.711370  recall 0.626927  f-micro 0.666485 
0.201529 ( 29 ) precision 0.717184  recall 0.617677  f-micro 0.663722 
0.208593 ( 29 ) precision 0.710450  recall 0.625385  f-micro 0.665209 
0.202497 ( 29 ) precision 0.716835  recall 0.619219  f-micro 0.664461 
0.208634 ( 29 ) precision 0.709959  recall 0.626413  f-micro 0.665575 
0.202497 ( 29 ) precision 0.717262  recall 0.619219  f-micro 0.664644 
0.209797 ( 29 ) precision 0.710526  recall 0.624358  f-micro 0.664661 
0.213205 ( 29 ) precision 0.708237  recall 0.627441  f-micro 0.665395 
0.210257 ( 29 ) precision 0.709302  recall 0.626927  f-micro 0.665576 
0.202761 ( 29 ) precision 0.713443  recall 0.621788  f-micro 0.664470 
0.199883 ( 29 ) precision 0.715476  recall 0.617677  f-micro 0.662990 
0.199998 ( 29 ) precision 0.716329  recall 0.617677  f-micro 0.663355 
0.207105 ( 29 ) precision 0.709038  recall 0.624872  f-micro 0.664299 
0.198046 ( 29 ) precision 0.714711  recall 0.616650  f-micro 0.662069 
0.197170 ( 29 ) precision 0.714967  recall 0.616136  f-micro 0.661882 
0.198100 ( 29 ) precision 0.714711  recall 0.616650  f-micro 0.662069 
0.207485 ( 29 ) precision 0.707826  recall 0.627441  f-micro 0.665214 
0.212854 ( 29 ) precision 0.709154  recall 0.628983  f-micro 0.666667 
0.209724 ( 29 ) precision 0.711538  recall 0.627441  f-micro 0.666849 
0.206195 ( 29 ) precision 0.714202  recall 0.622816  f-micro 0.665386 
0.207105 ( 29 ) precision 0.709038  recall 0.624872  f-micro 0.664299 
0.200262 ( 29 ) precision 0.713779  recall 0.620247  f-micro 0.663734 
0.209014 ( 29 ) precision 0.708333  recall 0.628983  f-micro 0.666304 
0.199998 ( 29 ) precision 0.716329  recall 0.617677  f-micro 0.663355 
0.197286 ( 29 ) precision 0.715821  recall 0.616136  f-micro 0.662248 
0.203676 ( 29 ) precision 0.714878  recall 0.619733  f-micro 0.663914 
0.202813 ( 29 ) precision 0.715134  recall 0.619219  f-micro 0.663729 
0.204467 ( 29 ) precision 0.716746  recall 0.620247  f-micro 0.665014 
0.214717 ( 29 ) precision 0.705409  recall 0.630010  f-micro 0.665581 
0.204480 ( 29 ) precision 0.714201  recall 0.620247  f-micro 0.663916 
0.208007 ( 29 ) precision 0.708140  recall 0.625899  f-micro 0.664484 
0.202287 ( 29 ) precision 0.715983  recall 0.619219  f-micro 0.664095 
0.198215 ( 29 ) precision 0.715990  recall 0.616650  f-micro 0.662617 
0.198962 ( 29 ) precision 0.716677  recall 0.616136  f-micro 0.662614 
0.198962 ( 29 ) precision 0.716677  recall 0.616136  f-micro 0.662614 
0.203931 ( 29 ) precision 0.712175  recall 0.619219  f-micro 0.662452 
0.206760 ( 29 ) precision 0.717521  recall 0.618705  f-micro 0.664459 
0.210140 ( 29 ) precision 0.716144  recall 0.622302  f-micro 0.665933 
0.204942 ( 29 ) precision 0.712860  recall 0.623844  f-micro 0.665388 
0.199585 ( 29 ) precision 0.717626  recall 0.615108  f-micro 0.662424 
0.209338 ( 29 ) precision 0.712449  recall 0.626413  f-micro 0.666667 
0.209058 ( 29 ) precision 0.714034  recall 0.624872  f-micro 0.666484 
0.199144 ( 29 ) precision 0.717184  recall 0.617677  f-micro 0.663722 
0.206641 ( 29 ) precision 0.712103  recall 0.622816  f-micro 0.664474 
0.210120 ( 29 ) precision 0.710956  recall 0.626927  f-micro 0.666303 
0.203614 ( 29 ) precision 0.715471  recall 0.620247  f-micro 0.664465 
0.200323 ( 29 ) precision 0.714117  recall 0.621274  f-micro 0.664468 
0.200323 ( 29 ) precision 0.714117  recall 0.621274  f-micro 0.664468 
0.200323 ( 29 ) precision 0.714117  recall 0.621274  f-micro 0.664468 
0.205359 ( 29 ) precision 0.714286  recall 0.621788  f-micro 0.664835 
0.206455 ( 29 ) precision 0.709772  recall 0.623330  f-micro 0.663748 
0.205589 ( 29 ) precision 0.710434  recall 0.622816  f-micro 0.663746 
0.205672 ( 29 ) precision 0.710850  recall 0.622816  f-micro 0.663928 
0.200968 ( 29 ) precision 0.715134  recall 0.619219  f-micro 0.663729 
0.211346 ( 29 ) precision 0.708986  recall 0.628469  f-micro 0.666303 
0.203459 ( 29 ) precision 0.714962  recall 0.621274  f-micro 0.664834 
0.198093 ( 29 ) precision 0.715476  recall 0.617677  f-micro 0.662990 
0.203161 ( 29 ) precision 0.713529  recall 0.623330  f-micro 0.665387 
0.198624 ( 29 ) precision 0.714793  recall 0.620761  f-micro 0.664466 
0.201939 ( 29 ) precision 0.716657  recall 0.621274  f-micro 0.665566 
