
0.226990 ( 29 ) precision 0.642162  recall 0.677801  f-micro 0.659500 
0.210089 ( 29 ) precision 0.684800  recall 0.643628  f-micro 0.663576 
0.201488 ( 29 ) precision 0.753727  recall 0.597636  f-micro 0.666667 
0.198134 ( 29 ) precision 0.763612  recall 0.590956  f-micro 0.666280 
0.200411 ( 29 ) precision 0.755208  recall 0.596095  f-micro 0.666284 
0.194374 ( 29 ) precision 0.770216  recall 0.587359  f-micro 0.666472 
0.202360 ( 29 ) precision 0.746488  recall 0.600719  f-micro 0.665718 
0.210138 ( 29 ) precision 0.732394  recall 0.614594  f-micro 0.668343 
0.198600 ( 29 ) precision 0.753585  recall 0.594039  f-micro 0.664368 
0.194265 ( 29 ) precision 0.770580  recall 0.586845  f-micro 0.666278 
0.206162 ( 29 ) precision 0.744171  recall 0.606886  f-micro 0.668554 
0.197501 ( 29 ) precision 0.763612  recall 0.590956  f-micro 0.666280 
0.193699 ( 29 ) precision 0.773406  recall 0.585817  f-micro 0.666667 
0.192563 ( 29 ) precision 0.780454  recall 0.582734  f-micro 0.667255 
0.192423 ( 29 ) precision 0.783391  recall 0.581706  f-micro 0.667650 
0.192900 ( 29 ) precision 0.783784  recall 0.581192  f-micro 0.667454 
0.193210 ( 29 ) precision 0.783541  recall 0.582220  f-micro 0.668042 
0.200023 ( 29 ) precision 0.763733  recall 0.593011  f-micro 0.667631 
0.200511 ( 29 ) precision 0.753896  recall 0.596608  f-micro 0.666093 
0.202573 ( 29 ) precision 0.747921  recall 0.600719  f-micro 0.666287 
0.205745 ( 29 ) precision 0.746345  recall 0.603289  f-micro 0.667235 
0.206655 ( 29 ) precision 0.745881  recall 0.604830  f-micro 0.667991 
0.206782 ( 29 ) precision 0.745731  recall 0.605858  f-micro 0.668557 
0.198007 ( 29 ) precision 0.764823  recall 0.589928  f-micro 0.666086 
0.200603 ( 29 ) precision 0.754386  recall 0.596608  f-micro 0.666284 
0.202915 ( 29 ) precision 0.748721  recall 0.601747  f-micro 0.667236 
0.199952 ( 29 ) precision 0.761528  recall 0.594039  f-micro 0.667436 
0.194364 ( 29 ) precision 0.766399  recall 0.588386  f-micro 0.665698 
0.195949 ( 29 ) precision 0.770525  recall 0.588386  f-micro 0.667249 
0.200092 ( 29 ) precision 0.758508  recall 0.595581  f-micro 0.667242 
0.202790 ( 29 ) precision 0.749679  recall 0.600206  f-micro 0.666667 
0.199812 ( 29 ) precision 0.761371  recall 0.593525  f-micro 0.667052 
0.200034 ( 29 ) precision 0.756686  recall 0.596095  f-micro 0.666858 
0.200626 ( 29 ) precision 0.753078  recall 0.597122  f-micro 0.666093 
0.199939 ( 29 ) precision 0.762880  recall 0.593525  f-micro 0.667630 
0.200230 ( 29 ) precision 0.758666  recall 0.596095  f-micro 0.667626 
0.200373 ( 29 ) precision 0.753736  recall 0.596095  f-micro 0.665710 
0.201289 ( 29 ) precision 0.753407  recall 0.596608  f-micro 0.665902 
0.202217 ( 29 ) precision 0.750805  recall 0.599178  f-micro 0.666476 
0.202217 ( 29 ) precision 0.750805  recall 0.599178  f-micro 0.666476 
0.202079 ( 29 ) precision 0.750644  recall 0.598664  f-micro 0.666095 
0.202118 ( 29 ) precision 0.751128  recall 0.598664  f-micro 0.666285 
0.202354 ( 29 ) precision 0.750965  recall 0.599692  f-micro 0.666857 
0.202118 ( 29 ) precision 0.751128  recall 0.598664  f-micro 0.666285 
0.202217 ( 29 ) precision 0.750805  recall 0.599178  f-micro 0.666476 
0.194508 ( 29 ) precision 0.766555  recall 0.588900  f-micro 0.666085 
0.199839 ( 29 ) precision 0.761873  recall 0.593525  f-micro 0.667244 
0.200326 ( 29 ) precision 0.756510  recall 0.597122  f-micro 0.667433 
0.194456 ( 29 ) precision 0.770216  recall 0.587359  f-micro 0.666472 
0.199911 ( 29 ) precision 0.762376  recall 0.593525  f-micro 0.667437 
0.200318 ( 29 ) precision 0.757339  recall 0.596608  f-micro 0.667433 
0.194730 ( 29 ) precision 0.771930  recall 0.587873  f-micro 0.667445 
0.192798 ( 29 ) precision 0.780069  recall 0.583248  f-micro 0.667451 
0.197782 ( 29 ) precision 0.764276  recall 0.591470  f-micro 0.666860 
0.199264 ( 29 ) precision 0.757536  recall 0.594039  f-micro 0.665899 
0.200241 ( 29 ) precision 0.754215  recall 0.597636  f-micro 0.666858 
0.200099 ( 29 ) precision 0.752264  recall 0.597636  f-micro 0.666094 
0.201545 ( 29 ) precision 0.751613  recall 0.598664  f-micro 0.666476 
0.197640 ( 29 ) precision 0.764120  recall 0.590956  f-micro 0.666473 
0.199809 ( 29 ) precision 0.759502  recall 0.595581  f-micro 0.667627 
0.199861 ( 29 ) precision 0.754717  recall 0.596095  f-micro 0.666092 
0.200054 ( 29 ) precision 0.753567  recall 0.597122  f-micro 0.666284 
0.201629 ( 29 ) precision 0.750805  recall 0.599178  f-micro 0.666476 
0.201683 ( 29 ) precision 0.751773  recall 0.599178  f-micro 0.666857 
0.201568 ( 29 ) precision 0.750322  recall 0.599178  f-micro 0.666286 
0.201766 ( 29 ) precision 0.750965  recall 0.599692  f-micro 0.666857 
0.201683 ( 29 ) precision 0.751773  recall 0.599178  f-micro 0.666857 
0.201782 ( 29 ) precision 0.751449  recall 0.599692  f-micro 0.667048 
0.201541 ( 29 ) precision 0.749839  recall 0.599178  f-micro 0.666095 
0.201766 ( 29 ) precision 0.750965  recall 0.599692  f-micro 0.666857 
0.201541 ( 29 ) precision 0.749839  recall 0.599178  f-micro 0.666095 
0.201793 ( 29 ) precision 0.751449  recall 0.599692  f-micro 0.667048 
0.199561 ( 29 ) precision 0.755859  recall 0.596608  f-micro 0.666858 
0.199999 ( 29 ) precision 0.752591  recall 0.597122  f-micro 0.665903 
0.201407 ( 29 ) precision 0.751453  recall 0.598150  f-micro 0.666094 
0.201629 ( 29 ) precision 0.750805  recall 0.599178  f-micro 0.666476 
0.201450 ( 29 ) precision 0.750322  recall 0.599178  f-micro 0.666286 
0.202264 ( 29 ) precision 0.750643  recall 0.600206  f-micro 0.667047 
0.202264 ( 29 ) precision 0.750643  recall 0.600206  f-micro 0.667047 
0.202264 ( 29 ) precision 0.750643  recall 0.600206  f-micro 0.667047 
0.202264 ( 29 ) precision 0.750643  recall 0.600206  f-micro 0.667047 
0.202264 ( 29 ) precision 0.750643  recall 0.600206  f-micro 0.667047 
0.202303 ( 29 ) precision 0.751125  recall 0.600206  f-micro 0.667238 
0.202088 ( 29 ) precision 0.750000  recall 0.599692  f-micro 0.666476 
0.202276 ( 29 ) precision 0.750643  recall 0.600206  f-micro 0.667047 
0.197788 ( 29 ) precision 0.763769  recall 0.591470  f-micro 0.666667 
0.199698 ( 29 ) precision 0.759005  recall 0.595581  f-micro 0.667434 
0.200259 ( 29 ) precision 0.754215  recall 0.597636  f-micro 0.666858 
0.197352 ( 29 ) precision 0.763806  recall 0.589928  f-micro 0.665700 
0.200079 ( 29 ) precision 0.760341  recall 0.595067  f-micro 0.667628 
0.199295 ( 29 ) precision 0.754717  recall 0.596095  f-micro 0.666092 
0.200054 ( 29 ) precision 0.753567  recall 0.597122  f-micro 0.666284 
0.201782 ( 29 ) precision 0.751449  recall 0.599692  f-micro 0.667048 
0.201617 ( 29 ) precision 0.750805  recall 0.599178  f-micro 0.666476 
0.201808 ( 29 ) precision 0.750321  recall 0.600719  f-micro 0.667237 
0.202497 ( 29 ) precision 0.750481  recall 0.601233  f-micro 0.667618 
0.201518 ( 29 ) precision 0.751128  recall 0.598664  f-micro 0.666285 
0.193731 ( 29 ) precision 0.766399  recall 0.588386  f-micro 0.665698 
0.199185 ( 29 ) precision 0.760870  recall 0.593525  f-micro 0.666859 
0.199529 ( 29 ) precision 0.755859  recall 0.596608  f-micro 0.666858 
0.201097 ( 29 ) precision 0.753398  recall 0.598150  f-micro 0.666858 
