
-------------------- Start --------------------

---------------------------------
Thresh 	 F_score
0.087187 	 0.864398
0.000000 	 0.000000
0.000000 	 0.000000
0.263519 	 0.000000
0.214710 	 0.000000
0.000000 	 0.000000
0.000000 	 0.000000
0.000000 	 0.000000
0.000000 	 0.000000
0.074457 	 0.636145
0.000000 	 0.000000
0.000000 	 0.000000
0.233110 	 0.000000
0.000000 	 0.000000
0.000000 	 0.000000
0.161164 	 0.000000
0.000000 	 0.000000
0.193262 	 0.000000
0.000000 	 0.000000
0.253775 	 1.000000
0.051574 	 0.011494
0.000000 	 0.000000
0.000000 	 0.000000
0.000000 	 0.000000
0.135171 	 0.330961
0.000000 	 0.000000
0.000000 	 0.000000
0.214910 	 0.000000
0.000000 	 0.000000
0.258602 	 1.000000
0.079484 	 0.096774
0.056545 	 0.146479
0.000000 	 0.000000
0.229749 	 0.000000
0.000000 	 0.000000
0.077212 	 0.201980
0.059823 	 0.564679
0.243357 	 0.000000
0.000000 	 0.000000
0.000000 	 0.000000
0.139304 	 0.000000
0.218914 	 0.000000
0.210760 	 0.212766
0.118251 	 0.000000
0.175463 	 0.250000
0.000000 	 0.000000
0.206925 	 0.000000
0.000000 	 0.000000
0.000000 	 0.000000
0.068103 	 0.348315
0.000000 	 0.000000
0.000000 	 0.000000
---------
0.226560 ( 25 )
---------

---------------------------------
Thresh 	 F_score
0.126782 	 0.873894
0.000000 	 0.000000
0.000000 	 0.000000
0.351359 	 0.000000
0.286279 	 1.000000
0.000000 	 0.000000
0.000000 	 0.000000
0.000000 	 0.000000
0.000000 	 0.000000
0.113613 	 0.688172
0.000000 	 0.000000
0.000000 	 0.000000
0.200811 	 0.000000
0.000000 	 0.000000
0.000000 	 0.000000
0.209517 	 0.000000
0.000000 	 0.000000
0.257683 	 0.000000
0.000000 	 0.000000
0.338367 	 1.000000
0.134075 	 0.000000
0.000000 	 0.000000
0.000000 	 0.000000
0.000000 	 0.000000
0.162438 	 0.320879
0.000000 	 0.000000
0.000000 	 0.000000
0.286547 	 1.000000
0.000000 	 0.000000
0.344803 	 1.000000
0.104399 	 0.112676
0.075439 	 0.157303
0.000000 	 0.000000
0.306333 	 1.000000
0.000000 	 0.000000
0.097280 	 0.195489
0.070906 	 0.549763
0.324475 	 0.000000
0.000000 	 0.000000
0.000000 	 0.000000
0.186515 	 0.000000
0.291886 	 0.000000
0.281014 	 0.228571
0.149309 	 0.000000
0.233950 	 0.066667
0.000000 	 0.000000
0.275900 	 0.000000
0.000000 	 0.000000
0.000000 	 0.000000
0.089165 	 0.413333
0.000000 	 0.000000
0.000000 	 0.000000
---------
0.344270 ( 25 )
---------

---------------------------------
Thresh 	 F_score
0.146350 	 0.885650
0.000000 	 0.000000
0.000000 	 0.000000
0.395278 	 0.000000
0.322064 	 1.000000
0.000000 	 0.000000
0.000000 	 0.000000
0.000000 	 0.000000
0.000000 	 0.000000
0.115436 	 0.698667
0.000000 	 0.000000
0.000000 	 0.000000
0.268254 	 0.000000
0.000000 	 0.000000
0.000000 	 0.000000
0.237863 	 0.000000
0.000000 	 0.000000
0.289893 	 0.000000
0.000000 	 0.000000
0.380663 	 1.000000
0.172693 	 0.000000
0.000000 	 0.000000
0.000000 	 0.000000
0.000000 	 0.000000
0.189782 	 0.279412
0.000000 	 0.000000
0.000000 	 0.000000
0.322365 	 1.000000
0.000000 	 0.000000
0.387903 	 1.000000
0.119091 	 0.111675
0.084852 	 0.154472
0.000000 	 0.000000
0.344624 	 1.000000
0.000000 	 0.000000
0.107353 	 0.188088
0.086282 	 0.545894
0.365035 	 0.000000
0.000000 	 0.000000
0.000000 	 0.000000
0.236250 	 0.000000
0.328372 	 0.000000
0.316140 	 0.250000
0.187109 	 0.000000
0.263194 	 0.105263
