
-------------------- Start --------------------

---------------------------------
Thresh 	 F_score
0.173311 	 0.921591
0.176145 	 1.000000
0.127787 	 1.000000
0.134830 	 0.000000
0.106747 	 1.000000
0.218547 	 0.000000
0.098652 	 0.000000
0.102796 	 1.000000
0.025936 	 0.000000
0.119058 	 0.798742
0.181998 	 1.000000
0.216262 	 0.000000
0.182076 	 0.131579
0.070938 	 0.000000
0.180805 	 1.000000
0.028429 	 0.095238
0.187144 	 1.000000
0.084007 	 0.000000
0.249516 	 1.000000
0.143315 	 1.000000
0.153681 	 0.350000
0.037657 	 0.000000
0.046808 	 0.000000
0.105102 	 0.000000
0.142799 	 0.458065
0.251866 	 1.000000
0.095559 	 1.000000
0.022922 	 0.000000
0.132303 	 1.000000
0.204890 	 1.000000
0.131812 	 0.176991
0.144475 	 0.297297
0.234391 	 0.000000
0.102853 	 1.000000
0.081474 	 0.000000
0.077616 	 0.262500
0.241678 	 0.459397
0.189894 	 0.000000
0.102316 	 1.000000
0.123210 	 1.000000
0.121749 	 0.000000
0.025969 	 0.046512
0.068479 	 0.590164
0.111456 	 0.409836
0.085853 	 0.297872
0.050663 	 0.235294
0.131214 	 0.000000
0.130447 	 1.000000
0.216810 	 1.000000
0.070773 	 0.717391
0.105758 	 0.000000
0.000000 	 0.000000
---------
0.475460 ( 51 ) precision 0.549273  recall 0.698869  f-micro 0.615106 
---------

---------------------------------
Thresh 	 F_score
0.269967 	 0.924756
0.243874 	 1.000000
0.191660 	 1.000000
0.202937 	 0.000000
0.160331 	 1.000000
0.327821 	 0.000000
0.148090 	 0.000000
0.154195 	 1.000000
0.038284 	 0.000000
0.194419 	 0.824675
0.272998 	 1.000000
0.324393 	 0.000000
0.161780 	 0.133333
0.080425 	 0.000000
0.271208 	 1.000000
0.065468 	 0.333333
0.280715 	 1.000000
0.126055 	 0.000000
0.374274 	 1.000000
0.214973 	 1.000000
0.214441 	 0.311111
0.129534 	 1.000000
0.072990 	 0.000000
0.170941 	 0.000000
0.239814 	 0.312655
0.377799 	 1.000000
0.143338 	 1.000000
0.047775 	 0.000000
0.168948 	 1.000000
0.307335 	 1.000000
0.194130 	 0.183908
0.197741 	 0.268657
0.351586 	 0.000000
0.086271 	 1.000000
0.122108 	 0.000000
0.105222 	 0.232000
0.363267 	 0.357542
0.230222 	 0.000000
0.153115 	 1.000000
0.184815 	 1.000000
0.212263 	 0.000000
0.039721 	 0.080000
0.161622 	 0.571429
0.147011 	 0.377358
0.154465 	 0.153846
0.084473 	 0.263158
0.196822 	 0.000000
0.194583 	 1.000000
0.325216 	 1.000000
0.101364 	 0.714286
0.158772 	 0.000000
0.000000 	 0.000000
---------
0.491021 ( 51 ) precision 0.591634  recall 0.657760  f-micro 0.622947 
---------

---------------------------------
Thresh 	 F_score
0.329229 	 0.923611
0.278112 	 1.000000
0.224772 	 1.000000
0.237069 	 0.000000
0.186955 	 1.000000
0.382457 	 0.000000
0.167194 	 0.000000
0.179894 	 1.000000
0.057897 	 0.000000
0.208908 	 0.830065
0.318497 	 1.000000
0.378459 	 0.000000
0.251969 	 0.111111
0.084477 	 0.000000
0.316409 	 1.000000
0.099169 	 0.363636
0.327501 	 1.000000
0.147068 	 0.000000
0.436653 	 1.000000
0.250802 	 1.000000
0.249570 	 0.381818
0.102622 	 1.000000
0.091302 	 1.000000
0.195868 	 0.000000
0.281113 	 0.336000
0.440766 	 1.000000
0.167051 	 1.000000
0.138681 	 0.000000
0.216777 	 1.000000
0.358558 	 1.000000
0.228395 	 0.148148
0.241552 	 0.242424
0.410184 	 0.000000
0.080258 	 1.000000
0.142476 	 0.000000
0.119668 	 0.258929
0.421500 	 0.338983
0.248826 	 0.000000
0.115333 	 1.000000
0.215617 	 1.000000
0.258023 	 0.000000
0.191664 	 0.000000
0.208525 	 0.509804
0.170178 	 0.368932
0.154106 	 0.285714
0.098935 	 0.270270
0.229625 	 0.000000
0.226678 	 1.000000
0.379418 	 1.000000
0.120635 	 0.769231
0.185278 	 0.000000
0.000000 	 0.000000
---------
0.512523 ( 51 ) precision 0.618239  recall 0.642172  f-micro 0.629978 
---------

---------------------------------
Thresh 	 F_score
0.383019 	 0.922988
0.295231 	 1.000000
0.240181 	 1.000000
0.252709 	 0.000000
0.200267 	 1.000000
0.409776 	 0.000000
0.180305 	 0.000000
0.192744 	 1.000000
0.059448 	 0.000000
0.230197 	 0.850498
0.341247 	 1.000000
0.405492 	 0.000000
0.420014 	 0.029851
0.086546 	 0.000000
0.339010 	 1.000000
0.112066 	 0.363636
0.350894 	 1.000000
0.157414 	 0.000000
0.467843 	 1.000000
0.268716 	 1.000000
0.254617 	 0.333333
0.088675 	 1.000000
0.095857 	 0.000000
0.125417 	 0.000000
0.309673 	 0.284946
0.472249 	 1.000000
0.178907 	 1.000000
0.105308 	 0.000000
0.240692 	 1.000000
0.384169 	 1.000000
0.263493 	 0.160920
0.257598 	 0.218750
0.439482 	 0.000000
0.144877 	 1.000000
0.152751 	 0.000000
0.126150 	 0.273171
0.449179 	 0.328446
0.247238 	 0.000000
0.108373 	 1.000000
0.231018 	 1.000000
0.280808 	 0.000000
0.232813 	 0.000000
0.232311 	 0.439024
0.196546 	 0.376238
0.242078 	 0.260870
0.096131 	 0.307692
0.246027 	 0.000000
0.242725 	 1.000000
0.406519 	 1.000000
0.130404 	 0.775000
0.196234 	 0.000000
0.000000 	 0.000000
---------
0.488733 ( 51 ) precision 0.637190  recall 0.630396  f-micro 0.633775 
---------

---------------------------------
Thresh 	 F_score
0.331539 	 0.918224
0.293280 	 1.000000
0.247885 	 1.000000
0.261393 	 0.000000
0.206922 	 1.000000
0.423435 	 0.000000
0.197510 	 0.000000
0.199168 	 1.000000
0.063430 	 0.000000
0.249314 	 0.867797
0.352622 	 1.000000
0.419008 	 1.000000
0.276206 	 0.028571
0.104578 	 0.000000
0.350310 	 1.000000
0.103205 	 0.333333
0.362591 	 1.000000
0.162782 	 0.000000
0.483437 	 1.000000
0.277673 	 1.000000
0.243731 	 0.315789
0.155169 	 1.000000
0.100271 	 1.000000
0.180890 	 0.000000
0.297640 	 0.265193
0.487991 	 1.000000
0.184835 	 1.000000
0.100458 	 0.000000
0.252650 	 1.000000
0.396975 	 1.000000
0.321732 	 0.197183
0.272981 	 0.242424
0.454132 	 0.000000
0.177186 	 1.000000
0.157765 	 0.000000
0.128574 	 0.246154
0.445069 	 0.340909
0.244914 	 0.000000
0.104893 	 1.000000
0.238719 	 1.000000
0.292651 	 0.000000
0.144885 	 0.000000
0.190711 	 0.500000
0.201268 	 0.403846
0.176630 	 0.260870
0.120131 	 0.375000
0.254228 	 0.000000
0.250749 	 1.000000
0.420070 	 1.000000
0.140810 	 0.765432
0.204009 	 0.000000
0.000000 	 0.000000
---------
0.530602 ( 51 ) precision 0.650242  recall 0.622508  f-micro 0.636072 
---------

---------------------------------
Thresh 	 F_score
0.363883 	 0.917880
0.292002 	 1.000000
0.251737 	 1.000000
0.265613 	 0.000000
0.210258 	 1.000000
0.430264 	 0.000000
0.206113 	 0.000000
0.202381 	 1.000000
0.071510 	 0.000000
0.260499 	 0.872852
0.358309 	 1.000000
0.425766 	 1.000000
0.466087 	 0.057971
0.120792 	 0.000000
0.355961 	 1.000000
0.099768 	 0.333333
0.368439 	 1.000000
0.165467 	 0.000000
0.491235 	 1.000000
0.282152 	 1.000000
0.253624 	 0.361702
0.132473 	 1.000000
0.114722 	 0.000000
0.211594 	 0.000000
0.299377 	 0.275676
0.495862 	 1.000000
0.187799 	 1.000000
0.168572 	 1.000000
0.258628 	 1.000000
0.403377 	 1.000000
0.296066 	 0.142857
0.280868 	 0.218750
0.461456 	 0.000000
0.123437 	 1.000000
0.160325 	 0.000000
0.148995 	 0.251366
0.462114 	 0.328530
0.257729 	 0.000000
0.155047 	 1.000000
0.242569 	 1.000000
0.265693 	 0.000000
0.100613 	 0.000000
0.165789 	 0.461538
0.204146 	 0.421053
0.214359 	 0.095238
0.119189 	 0.324324
0.258328 	 0.000000
0.254761 	 1.000000
0.426845 	 1.000000
0.141036 	 0.775000
0.205599 	 0.000000
0.000000 	 0.000000
---------
0.526237 ( 51 ) precision 0.658655  recall 0.617249  f-micro 0.637280 
---------

---------------------------------
Thresh 	 F_score
0.304524 	 0.919327
0.309027 	 1.000000
0.253664 	 1.000000
0.267723 	 0.000000
0.211926 	 1.000000
0.433679 	 0.000000
0.210414 	 0.000000
0.233494 	 1.000000
0.065601 	 0.000000
0.278043 	 0.863014
0.361153 	 1.000000
0.429145 	 1.000000
0.304711 	 0.084507
0.125060 	 0.000000
0.358786 	 1.000000
0.101703 	 0.333333
0.371363 	 1.000000
0.166809 	 0.000000
0.495133 	 1.000000
0.284391 	 1.000000
0.255917 	 0.432432
0.121826 	 1.000000
0.123791 	 0.000000
0.214425 	 0.000000
0.321880 	 0.283237
0.499797 	 1.000000
0.189281 	 1.000000
0.202629 	 1.000000
0.261618 	 1.000000
0.406579 	 1.000000
0.285027 	 0.139535
0.285266 	 0.222222
